token,weight,direction
call,4.277587255004567,spam
txt,3.8402258434025414,spam
free,3.3794314499984552,spam
to,3.1335255762711918,spam
reply,2.8266795853265547,spam
stop,2.778050665847618,spam
text,2.6772121870829144,spam
uk,2.6563531677152046,spam
claim,2.562276880354791,spam
www,2.4891994317277875,spam
mobile,2.415492307931996,spam
your,2.2384788146417702,spam
from,2.2187209960919048,spam
150p,2.125868886302931,spam
com,2.050480386923563,spam
prize,2.025976186074564,spam
service,1.938674546947215,spam
win,1.8919949043991542,spam
won,1.8075663118512613,spam
50,1.7898977000227436,spam
my,-2.186284852526248,ham
me,-2.0418476354900528,ham
that,-1.5981260977929006,ham
ok,-1.5481133941941148,ham
it,-1.4697581813982386,ham
but,-1.3674063982419293,ham
at,-1.3371817492903202,ham
ll,-1.285866914290853,ham
gt,-1.2467866887580916,ham
in,-1.2344403730700073,ham
lt,-1.2293621237451384,ham
can,-1.2148729893946675,ham
da,-1.180806140816983,ham
how,-1.1470410877548238,ham
got,-1.1219343137021909,ham
so,-1.1130280047677275,ham
lt gt,-1.0882734225537558,ham
come,-1.0731863860661224,ham
home,-1.0707796252462207,ham
going,-1.0596882605296558,ham
